driver_id,driver_name,driver_city,driver_rating,total_revenue,total_trips
D4407,Richard Brown,Roymouth,4.7,361.8,3
D90,Jason Leonard,Blankenshipbury,4.61,325.6,4
D793,Amy Miranda,North Carl,3.72,306.0,3
D506,Emily Lopez,Goldenstad,3.9,293.9,3
D541,Scott Smith,Lake Heidiport,4.9,257.5,3
D4594,David Petersen,Harrisberg,3.94,254.7,3
D886,Chris Mason,East Chasemouth,4.75,251.0,3
D320,Amanda Thomas,Glennland,4.01,236.0,4
D3680,Sara Burke,Lisaburgh,3.94,234.4,3
D4433,Rebecca Crawford,Michaeltown,4.38,225.0,3
